Dui,Nombre,Telefono,Correo_electronico,Salario,Seguro
679452729,Ruy Juárez,8706 0490,ruy.juarez45@gmail.com,1358.0,Seguro de Accidentes
689363122,Carlota Flor,1533 0793,carlota.flor46@outlook.com,1315.53,Seguro de Accidentes Básico
911261200,Sonia Valdés,6976 8550,sonia.valdes47@hotmail.com,1768.6,Seguro de salud
133328381,Tiburcio Blasco,9669 9987,tiburcio.blasco48@gmail.com,2591.62,Seguro de salud
66215272,Teodoro Cuevas,9063 8747,teodoro.cuevas49@gmail.com,2587.31,Seguro de Accidentes
206263664,Teo Mancebo,0475 8064,teo.mancebo50@hotmail.com,2564.1,Seguro de Accidentes
263324549,Noa Carretero,8090 3237,noa.carretero51@gmail.com,2687.37,Seguro de Accidentes Básico
719671982,Macario Gómez,3701 5732,macario.gomez52@gmail.com,1520.57,Sin seguro
442305649,María Jesús Cortés,6406 2494,maria jesus.cortes53@hotmail.com,1948.14,Seguro de Accidentes Básico
340763240,Edu Benitez,6450 1922,edu.benitez54@gmail.com,1978.54,Seguro de Accidentes
526717506,Juana Armengol,0437 7047,juana.armengol55@outlook.com,2455.15,Sin seguro
945775251,Marco Hoz,7626 8957,marco.hoz56@gmail.com,2140.08,Seguro de Accidentes Básico
731693950,Renata Bejarano,5929 5269,renata.bejarano57@hotmail.com,1788.64,Sin seguro
955538471,Alfonso Galvez,0008 4944,alfonso.galvez58@hotmail.com,923.06,Seguro de salud
366685458,Isabel Codina,2414 3954,isabel.codina59@hotmail.com,1168.88,Seguro de Accidentes
679775773,Anastasio Navarrete,5617 8845,anastasio.navarrete60@hotmail.com,1622.14,Sin seguro
652749079,Francisco Javier Cabezas,2339 4188,francisco javier.cabezas61@hotmail.com,1832.2,Seguro de Accidentes Básico
329034388,Tito Lopez,3110 1968,tito.lopez62@hotmail.com,1059.96,Seguro de Accidentes Básico
257279725,Ascensión Andreu,9142 3743,ascension.andreu63@gmail.com,1927.85,Seguro de Accidentes Básico
143447219,Federico Feijoo,3087 2472,federico.feijoo64@hotmail.com,1638.66,Seguro de Accidentes Básico
942925417,Demetrio Llanos,5061 7479,demetrio.llanos65@gmail.com,2785.95,Seguro de Accidentes Básico
405988554,Tecla Morán,3388 0882,tecla.moran66@gmail.com,2414.05,Seguro de salud
548021939,Horacio Bayona,0366 1369,horacio.bayona67@hotmail.com,931.96,Seguro de salud
795736804,Valentina Espada,8783 7995,valentina.espada68@hotmail.com,2001.93,Seguro de salud
540007549,Fidela Figueras,7809 3193,fidela.figueras69@gmail.com,2473.29,Seguro de salud
325137386,Fausto Diaz,0509 4601,fausto.diaz70@outlook.com,1887.93,Seguro de Accidentes Básico
707931847,Abigaíl Rebollo,2776 5702,abigail.rebollo71@yahoo.com,2347.31,Seguro de Accidentes Básico
301439760,Javi Alcántara,0292 3214,javi.alcantara72@hotmail.com,2308.5,Sin seguro
346562143,Guadalupe Flores,8550 9499,guadalupe.flores73@hotmail.com,1976.79,Seguro de Accidentes Básico
267343410,Moreno Saavedra,2776 3471,moreno.saavedra74@gmail.com,1901.17,Sin seguro
820714093,Sabas Román,0304 2607,sabas.roman75@outlook.com,909.96,Sin seguro
807467071,Luz Ferreras,5938 4163,luz.ferreras76@hotmail.com,1949.8,Seguro de salud
622832295,Nerea Nogueira,4250 9274,nerea.nogueira77@gmail.com,977.58,Sin seguro
682787216,Josep Carbonell,0639 7081,josep.carbonell78@hotmail.com,1655.23,Seguro de Accidentes Básico
553038847,Melchor Alcaraz,6802 0815,melchor.alcaraz79@gmail.com,1826.51,Seguro de Accidentes
772192856,Cándido Pardo,7325 5481,candido.pardo80@hotmail.com,1412.27,Seguro de Accidentes Básico
931285467,Berta Alcántara,9376 9767,berta.alcantara81@gmail.com,2703.95,Seguro de Accidentes Básico
550014623,Renato Pareja,1851 9161,renato.pareja82@hotmail.com,865.56,Seguro de salud
727296849,María Teresa Reina,2940 5339,maria teresa.reina83@hotmail.com,1416.29,Seguro de Accidentes Básico
562443600,Ruy Tapia,7488 7560,ruy.tapia84@gmail.com,2224.57,Sin seguro
847244964,Dani García,6401 6162,dani.garcia85@hotmail.com,2096.7,Seguro de salud
398784389,Sandra Agullo,2174 8610,sandra.agullo86@hotmail.com,1188.61,Seguro de Accidentes Básico
631581809,Inocencio Arévalo,0471 7558,inocencio.arevalo87@gmail.com,929.18,Seguro de Accidentes Básico
65170035,Soledad Ramirez,1150 3858,soledad.ramirez88@gmail.com,2442.11,Sin seguro
932854634,Mariano Pol,8438 1100,mariano.pol89@gmail.com,1564.61,Sin seguro
398356586,Iker Pagès,1106 5667,iker.pages90@gmail.com,1135.13,Seguro de salud
370626487,Maxi Zamorano,7795 8853,maxi.zamorano91@hotmail.com,2194.07,Sin seguro
16717839,Clotilde Real,2097 2270,clotilde.real92@gmail.com,2219.59,Seguro de Accidentes Básico
545356652,Loreto Coca,0526 0483,loreto.coca93@hotmail.com,2097.55,Seguro de salud
560568897,Adalberto Ros,1814 9363,adalberto.ros94@hotmail.com,2850.85,Seguro de Accidentes
81913746,Ernesto Otero,8868 3316,ernesto.otero95@yahoo.com,965.62,Seguro de Accidentes Básico
465799849,Sara Gálvez,5909 7259,sara.galvez96@gmail.com,1099.83,Sin seguro
193366222,Juan Manuel Macias,4270 9689,juan manuel.macias97@gmail.com,1377.19,Seguro de Accidentes
443633177,Graciela Verdugo,9222 7312,graciela.verdugo98@yahoo.com,1774.75,Sin seguro
534727091,Manu Bustamante,5662 9349,manu.bustamante99@hotmail.com,1841.65,Seguro de salud
262845758,Ceferino Alemany,6138 3636,ceferino.alemany100@hotmail.com,2670.73,Seguro de Accidentes
